Area,Count
Thiruvottriyur,3
Manali,0
Madhavaram,3
Tondiarpet,7
Royapuram,27
Thiru-vi-ka Nagar,14
Ambattur,0
Anna Nagar,14
Teynampet,10
Kodambakkam,12
Valasaravakkam,4
Alandur,2
Adyar,3
Perungudi,4
Shozinganallur,2
